GMDandPRIMe_names,MetNames,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,CAS,InChI,Formula,MW,RETENTIONTIME,RETENTIONINDEX
M001195_A110006-101-xxx_NA_2033_TRUE_VAR5_ALK_6-epi-castanospermine (4TMS),6-epi-castanospermine,NA,,,,,,,,InChI=1S/C8H15NO4/c10-4-1-2-9-3-5(11)7(12)8(13)6(4)9/h4-8.10-13H.1-3H2/t4-.5+.6+.7+.8+/m0/s1,C20H47NO4Si4,477.934,,2033
M000000_A110007-101-xxx_NA_1095.09_PRED_VAR5_ALK_Butylamine_2TMS,Butylamine,,,8007,43799,,,,,,,,,1095.09
M000417_A111001-101-xxx_NA_1036.89_TRUE_VAR5_ALK_Limonene. (+/-)-,Limonene.,D-Limonene,HMDB0003375,439250,15383,C00521,6911,CC1=CC[C@H](CC1)C(=C)C,138-86-3,InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4.10H.1.5-7H2.2-3H3,C10H16,XMGQYMWWDOXHJM-UHFFFAOYSA-N,,1036.89
M000888_A111002-101-xxx_NA_1111.63_TRUE_VAR5_ALK_Butanoic acid. 2-hydroxy- (2TMS),Butanoic acid. 2-hydroxy-,2-Hydroxybutyric acid,HMDB0000008,11266,1148,C05984,3783,CCC(C(=O)O)O,,InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3.5H.2H2.1H3.(H.6.7),C10H24O3Si2,248.467,,1111.63
M000000_A111004-101-xxx_NA_1102.95_PRED_VAR5_ALK_Benzaldehyde_1_1MeOX,Benzaldehyde_1,,,,,,,,,,,,,1102.95
M000000_A111005-101-xxx_NA_1105.4_PRED_VAR5_ALK_Norvaline_1TMS,Norvaline,,,439575,28804,,,,,,,,,1105.4
M000000_A111006-101-xxx_NA_1104.89_PRED_VAR5_ALK_Unknown#sst-cgl-002,Unknown#sst-cgl-002,,,,,,,,,,,,,1104.89
M000887_A112001-101-xxx_NA_1123.54_TRUE_VAR5_ALK_Acetoacetic acid (1MEOX) (1TMS) MP,Acetoacetic acid,Acetoacetic acid,HMDB0000060,96,15344,C00164,276,CC(=O)CC(=O)O,,InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2.1H3.(H.6.7),C8H17NO3Si,203.311,,1123.54
M000000_A112003-101-xxx_NA_1122.44_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,1122.44
M000000_A112004-101-xxx_NA_1109.86_PRED_VAR5_ALK_Benzaldehyde_2_1MeOX,Benzaldehyde_2,,,,,,,,,,,,,1109.86
M000870_A113001-101-xxx_NA_1117.07_PRED_VAR5_ALK_similar to Cyclopentasiloxane. decamethyl,similar to Cyclopentasiloxane. decamethyl,,,,,,,,,InChI=1S/H6OSi2/c2-1-3/h2-3H3,,,,1117.07
M000070_A113002-101-xxx_NA_1118.32_TRUE_VAR5_ALK_Oxalic acid (2TMS),Oxalic acid,Oxalic acid,HMDB0002329,971,16995,C00209,113,C(=O)(C(=O)O)O,144-62-7,InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H.3.4)(H.5.6),C8H18O4Si2,234.397,,1118.32
M000000_A113003-101-xxx_NA_1123.73_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1123.73
M000518_A113004-101-xxx_NA_1125.98_TRUE_VAR5_ALK_Sarcosine (2TMS),Sarcosine,Sarcosine,HMDB0000271,1088,15611,C00213,51,CNCC(=O)O,107-97-1,InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H.2H2.1H3.(H.5.6),C9H23NO2Si2,233.456,,1125.98
M000733_A113005-101-xxx_NA_1120.62_TRUE_VAR5_ALK_Octanoic acid methyl ester (FAME MIX),Octanoic acid methyl ester,,,8091,87432,,,,111-11-5,InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2.1-2H3,C9H18O2,158.238,,1120.62
M000450_A113006-101-xxx_NA_1131.57_TRUE_VAR5_ALK_Valeric acid. 2-oxo- (1MEOX) (1TMS) BP,Valeric acid. 2-oxo-,2-Oxovaleric acid,HMDB0001865,74563,33033,C06255,,CCCC(=O)C(=O)O,1821-02-9,InChI=1S/C5H8O3/c1-2-3-4(6)5(7)8/h2-3H2.1H3.(H.7.8),C9H19NO3Si,217.338,,1131.57
M000000_A113007-101-xxx_NA_1120.65_PRED_VAR5_ALK_Unknown#bth-pae-010,Unknown#bth-pae-010,,,,,,,,,,,,,1120.65
M000031_A114001-101-xxx_NA_1110.76_TRUE_VAR5_ALK_Glycine (2TMS),Glycine,Glycine,HMDB0000123,750,15428,C00037,20,C(C(=O)O)N,56-40-6,InChI=1S/C2H5NO2/c3-1-2(4)5/h1.3H2.(H.4.5),C8H21NO2Si2,219.429,,1110.76
M000000_A114002-101-xxx_NA_1131.27_TRUE_VAR5_ALK_NA114002 (classified unknown),NA114002 (classified unknown),,,,,,,,,,,235,,1131.27
M000419_A114003-101-xxx_NA_1136.97_TRUE_VAR5_ALK_Pyridine. 3-hydroxy- (1TMS),Pyridine. 3-hydroxy-,,,,,,,,109-00-2,InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4.7H,C8H13NOSi,167.281,,1136.97
M000665_A114004-101-xxx_NA_1144.43_TRUE_VAR5_ALK_Butyro-1.4-lactam (1TMS),Butyro-1.4-lactam,,,,,,,,616-45-5,InChI=1S/C4H8N2O/c5-3-1-2-6-4(3)7/h3H.1-2.5H2.(H.6.7),C7H15NOSi,157.286,,1144.43
M000420_A114005-101-xxx_NA_0_FALSE_VAR5_ALK_Valeric acid. 3-hydroxy-3-methyl- (1TMS),Valeric acid. 3-hydroxy-3-methyl-,,,,,,,,150-96-9,InChI=1S/C6H12O3/c1-3-6(2.9)4-5(7)8/h9H.3-4H2.1-2H3.(H.7.8),C9H19O3Si,203.331,,0
M000421_A114006-101-xxx_NA_0_FALSE_VAR5_ALK_Maleimide. N-ethyl-,Maleimide. N-ethyl-,NA,,,,,,,128-53-0,InChI=1S/C6H7NO2/c1-2-7-5(8)3-4-6(7)9/h3-4H.2H2.1H3,C6H7NO2,125.126,,0
M000000_A114008-101-xxx_NA_1145.56_TRUE_VAR5_ALK_NA114008,NA114008,,,,,,,,,,,,,1145.56
M000000_A114009-101-xxx_NA_1143.05_TRUE_VAR5_ALK_NA114009,NA114009,,,,,,,,,,,,,1143.05
M000000_A114012-101-xxx_NA_1132.36_PRED_VAR5_ALK_Unknown#sst-cgl-D05,Unknown#sst-cgl-D05,,,,,,,,,,,,,1132.36
M000000_A114013-101-xxx_NA_1138.11_PRED_VAR5_ALK_Unknown#sst-cgl-D07,Unknown#sst-cgl-D07,,,,,,,,,,,,,1138.11
M001233_A114014-101-xxx_NA_1133.08_TRUE_VAR5_ALK_Furan-2-carboxylic acid (1TMS),Furan-2-carboxylic acid,2-Furoic acid,HMDB0000617,6919,30845,C01546,2266,C1=COC(=C1)C(=O)O,,InChI=1S/C5H4O3/c6-5(7)4-2-1-3-8-4/h1-3H.(H.6.7),,,,1133.08
M000000_A115001-101-xxx_NA_1147.89_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1147.89
M000000_A115002-101-xxx_NA_1130.58_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,1130.58
M000422_A115003-101-xxx_NA_1152.05_TRUE_VAR5_ALK_Benzylalcohol (1TMS),Benzylalcohol,Benzyl alcohol,HMDB0003119,244,17987,C00556,,C1=CC=C(C=C1)CO,100-51-6,InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5.8H.6H2,C10H16OSi,180.319,,1152.05
M000423_A115004-101-xxx_NA_1160.93_TRUE_VAR5_ALK_Propane-1.3-diol. 2-amino-2-methyl- (2TMS),Propane-1.3-diol. 2-amino-2-methyl-,NA,,,,,,,115-69-5,InChI=1S/C4H11NO2/c1-4(5.2-6)3-7/h6-7H.2-3.5H2.1H3,C10H27NO2Si2,249.498,,1160.93
M000448_A115005-101-xxx_NA_1141.31_TRUE_VAR5_ALK_Pentanoic acid. 2-propyl- (1TMS),Pentanoic acid. 2-propyl-,Valproic acid,HMDB0001877,3121,39867,C07185,2986,CCCC(CCC)C(=O)O,99-66-1,InChI=1S/C8H16O2.C7H17NO5/c1-3-5-7(6-4-2)8(9)10;1-8-2-4(10)6(12)7(13)5(11)3-9/h7H.3-6H2.1-2H3.(H.9.10);4-13H.2-3H2.1H3/t;4-.5+.6+.7+/m.0/s1,C11H24O2Si,216.393,,1141.31
M000000_A115010-101-xxx_NA_1139.52_PRED_VAR5_ALK_Unknown#sst-cgl-003,Unknown#sst-cgl-003,,,,,,,,,,,,,1139.52
M000000_A115011-101-xxx_NA_1145.57_PRED_VAR5_ALK_Unknown#bth-pae-004,Unknown#bth-pae-004,,,,,,,,,,,,,1145.57
M000000_A115012-101-xxx_NA_1147.59_PRED_VAR5_ALK_Unknown#bth-pae-011,Unknown#bth-pae-011,,,,,,,,,,,,,1147.59
M000361_A116001-101-xxx_NA_1143.43_PRED_VAR5_ALK_Sulfuric acid (2TMS),Sulfuric acid,Sulfate,HMDB0001448,1117,16189,C00059,3233,[O-]S(=O)(=O)[O-],7664-93-9,InChI=1S/H2O4S/c1-5(2.3)4/h(H2.1.2.3.4),C6H18O4SSi2,242.442,,1143.43
M000889_A116002-101-xxx_NA_1058.8_TRUE_VAR5_ALK_Butanoic acid. 2-oxo- (1MEOX) (1TMS) BP,Butanoic acid. 2-oxo-,2-Ketobutyric acid,HMDB0000005,58,30831,C00109,,CCC(=O)C(=O)O,55493-93-1,InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2.1H3.(H.6.7),C8H17NO3Si,203.311,,1058.8
M000889_A116003-101-xxx_NA_1088.7_TRUE_VAR5_ALK_Butanoic acid. 2-oxo- (1MEOX) (1TMS) MP,Butanoic acid. 2-oxo-,2-Ketobutyric acid,HMDB0000005,58,30831,C00109,,CCC(=O)C(=O)O,,InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2.1H3.(H.6.7),C8H17NO3Si,203.311,,1088.7
M000449_A116004-101-xxx_NA_1095.76_TRUE_VAR5_ALK_Isovaleric acid. 2-oxo- (1MEOX) (1TMS) MP,Isovaleric acid. 2-oxo-,Alpha-ketoisovaleric acid,HMDB0000019,49,16530,C00141,5091,CC(C)C(=O)C(=O)O,759-05-7,InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H.1-2H3.(H.7.8),C9H19NO3Si,217.338,,1095.76
M000432_A116005-101-xxx_NA_1155.41_TRUE_VAR5_ALK_Hexanoic acid. 2-ethyl- (1TMS),Hexanoic acid. 2-ethyl-,NA,,,,,,,149-57-5,InChI=1S/C8H16O2/c1-3-5-6-7(4-2)8(9)10/h7H.3-6H2.1-2H3.(H.9.10),C11H24O2Si,216.393,,1155.41
M000433_A116006-101-xxx_NA_1091.27_PRED_VAR5_ALK_Octan-1-ol. n- (1TMS),Octan-1-ol. n-,Octanol,HMDB0001183,957,16188,C00756,6063,CCCCCCCCO,111-87-5,InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H.2-8H2.1H3,C11H26OSi,202.409,,1091.27
M000434_A116007-101-xxx_NA_1148.33_TRUE_VAR5_ALK_Butanoic acid. 3-hydroxy- (2TMS),Butanoic acid. 3-hydroxy-,(R)-3-Hydroxybutyric acid,HMDB0000011,92135,17066,C01089,,C[C@H](CC(=O)O)O,300-85-6,InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3.5H.2H2.1H3.(H.6.7),C10H24O3Si2,WHBMMWSBFZVSSR-UHFFFAOYSA-N,,1148.33
M000435_A116009-101-xxx_NA_1229.2_PRED_VAR5_ALK_Guanidine (3TMS),Guanidine,,,3520,42820,,6342,,113-00-8,InChI=1S/CH5N3/c2-1(3)4/h(H5.2.3.4),C10H29N3Si3,275.614,,1229.2
M000889_A116010-101-xxx_NA_1165.42_TRUE_VAR5_ALK_Butanoic acid. 2-oxo- (2TMS),Butanoic acid. 2-oxo-,2-Ketobutyric acid,HMDB0000005,58,30831,C00109,,CCC(=O)C(=O)O,,InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2.1H3.(H.6.7),C10H22O3Si2,246.451,,1165.42
M000000_A116011-101-xxx_NA_1164.86_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,1164.86
M000000_A116012-101-xxx_NA_1161.89_TRUE_VAR5_ALK_D116201,D116201,,,,,,,,,,,,,1161.89
M000000_A116014-101-xxx_NA_1158.99_PRED_VAR5_ALK_Unknown#bth-pae-013,Unknown#bth-pae-013,,,,,,,,,,,,,1158.99
M000459_A117001-101-xxx_NA_1160.87_PRED_VAR5_ALK_Heptanoic acid. n- (1TMS),Heptanoic acid. n-,Cyclohexanecarboxylic acid,HMDB0031342,7413,36096,C09822,,C1CCC(CC1)C(=O)O,111-14-8,InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2.1H3.(H.8.9),C10H22O2Si,202.366,,1160.87
M000228_A117002-101-xxx_NA_1160.82_TRUE_VAR5_ALK_Butanoic acid. 2-amino- (2TMS),Butanoic acid. 2-amino-,NA,,,,,,,1492-24-6,InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H.2.5H2.1H3.(H.6.7)/t3-/m0/s1,C10H25NO2Si2,247.482,,1160.82
M000436_A117003-101-xxx_NA_1154.12_TRUE_VAR5_ALK_Pyridine. 4-hydroxy- (1TMS),Pyridine. 4-hydroxy-,,,,,,,,626-64-2,InChI=1S/C5H5NO/c7-5-1-3-6-4-2-5/h1-4H.(H.6.7),C8H13NOSi,167.281,,1154.12
M000450_A117004-101-xxx_NA_1164.98_TRUE_VAR5_ALK_Valeric acid. 2-oxo- (1MEOX) (1TMS) MP,Valeric acid. 2-oxo-,2-Oxovaleric acid,HMDB0001865,74563,33033,C06255,,CCCC(=O)C(=O)O,1821-02-9,InChI=1S/C5H8O3/c1-2-3-4(6)5(7)8/h2-3H2.1H3.(H.7.8),C9H19NO3Si,217.338,,1164.98
M000451_A117005-101-xxx_NA_0_FALSE_VAR5_ALK_Menthol. L-(-)- (1TMS),Menthol. L-(-)-,Menthol,HMDB0003352,16666,15409,C00400,,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,2216-51-5,InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H.4-6H2.1-3H3/t8-.9+.10-/m1/s1,C13H28OSi,228.447,,0
M000029_A117006-101-xxx_NA_1176.03_TRUE_VAR5_ALK_Proline (1TMS),Proline,L-Proline,HMDB0000162,145742,17203,C00148,29,C1C[C@H](NC1)C(=O)O,147-85-3,InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4.6H.1-3H2.(H.7.8)/t4-/m0/s1,C8H17NO2Si,187.312,,1176.03
M000397_A117007-101-xxx_NA_1177.1_TRUE_VAR5_ALK_Succinic semialdehyde (1MEOX) (1TMS) MP,Succinic semialdehyde,Succinic acid semialdehyde,HMDB0001259,1112,16265,C00232,6114,C(CC(=O)O)C=O,692-29-5,InChI=1S/C4H6O3/c5-3-1-2-4(6)7/h3H.1-2H2.(H.6.7),C8H17NO3Si,203.311,,1177.1
M000000_A117009-101-xxx_NA_1167.66_PRED_VAR5_ALK_Unknown#bth-pae-014,Unknown#bth-pae-014,,,,,,,,,,,,,1167.66
M000000_A117010-101-xxx_NA_1168.56_PRED_VAR5_ALK_Succinic-acid_methylester_1TMS,Succinic-acid_methylester,,,,,,,,,,,,,1168.56
M000025_A118001-101-xxx_NA_1151.06_TRUE_VAR5_ALK_Leucine (1TMS),Leucine,L-Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@@H](C(=O)O)N,328-38-1,InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H.3.7H2.1-2H3.(H.8.9),C9H21NO2Si,203.354,,1151.06
M000437_A118002-101-xxx_NA_1129.96_TRUE_VAR5_ALK_Isobutanoic acid. 2-amino- (2TMS),Isobutanoic acid. 2-amino-,NA,,,,,,,62-57-7,InChI=1S/C4H9NO2/c1-4(2.5)3(6)7/h5H2.1-2H3.(H.6.7),C10H25NO2Si2,247.482,,1129.96
M000397_A118003-101-xxx_NA_1182.03_TRUE_VAR5_ALK_Succinic semialdehyde (1MEOX) (1TMS) BP,Succinic semialdehyde,Succinic acid semialdehyde,HMDB0001259,1112,16265,C00232,6114,C(CC(=O)O)C=O,692-29-5,InChI=1S/C4H6O3/c5-3-1-2-4(6)7/h3H.1-2H2.(H.6.7),C8H17NO3Si,203.311,,1182.03
M000890_A118004-101-xxx_NA_1185.76_TRUE_VAR5_ALK_Phenylacetaldehyde (1MEOX) BP,Phenylacetaldehyde,Phenylacetaldehyde,HMDB0006236,998,16424,C00601,,C1=CC=C(C=C1)CC=O,122-78-1,InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5.7H.6H2,C9H11NO,149.19,,1185.76
M000000_A118006-101-xxx_NA_1189.63_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,1189.63
