"GMDandPRIMe_names","MetNames"
"M000000_A113007-101-xxx_NA_1120.65_PRED_VAR5_ALK_Unknown#bth-pae-010","Unknown#bth-pae-010"
"M000031_A114001-101-xxx_NA_1110.76_TRUE_VAR5_ALK_Glycine (2TMS)","Glycine"
"M000000_A114002-101-xxx_NA_1131.27_TRUE_VAR5_ALK_NA114002 (classified unknown)","NA114002 (classified unknown)"
"M000419_A114003-101-xxx_NA_1136.97_TRUE_VAR5_ALK_Pyridine. 3-hydroxy- (1TMS)","Pyridine. 3-hydroxy-"
"M000665_A114004-101-xxx_NA_1144.43_TRUE_VAR5_ALK_Butyro-1.4-lactam (1TMS)","Butyro-1.4-lactam"
"M000420_A114005-101-xxx_NA_0_FALSE_VAR5_ALK_Valeric acid. 3-hydroxy-3-methyl- (1TMS)","Valeric acid. 3-hydroxy-3-methyl-"
"M000421_A114006-101-xxx_NA_0_FALSE_VAR5_ALK_Maleimide. N-ethyl-","Maleimide. N-ethyl-"
"M000000_A114008-101-xxx_NA_1145.56_TRUE_VAR5_ALK_NA114008","NA114008"
"M000000_A114009-101-xxx_NA_1143.05_TRUE_VAR5_ALK_NA114009","NA114009"
"M000000_A114012-101-xxx_NA_1132.36_PRED_VAR5_ALK_Unknown#sst-cgl-D05","Unknown#sst-cgl-D05"
"M000000_A114013-101-xxx_NA_1138.11_PRED_VAR5_ALK_Unknown#sst-cgl-D07","Unknown#sst-cgl-D07"
"M001233_A114014-101-xxx_NA_1133.08_TRUE_VAR5_ALK_Furan-2-carboxylic acid (1TMS)","Furan-2-carboxylic acid"
"M000000_A115001-101-xxx_NA_1147.89_PRED_VAR5_ALK_NA","NA"
"M000000_A115002-101-xxx_NA_1130.58_TRUE_VAR5_ALK_NA","NA"
"M000422_A115003-101-xxx_NA_1152.05_TRUE_VAR5_ALK_Benzylalcohol (1TMS)","Benzylalcohol"
"M000423_A115004-101-xxx_NA_1160.93_TRUE_VAR5_ALK_Propane-1.3-diol. 2-amino-2-methyl- (2TMS)","Propane-1.3-diol. 2-amino-2-methyl-"
"M000448_A115005-101-xxx_NA_1141.31_TRUE_VAR5_ALK_Pentanoic acid. 2-propyl- (1TMS)","Pentanoic acid. 2-propyl-"
"M000000_A115010-101-xxx_NA_1139.52_PRED_VAR5_ALK_Unknown#sst-cgl-003","Unknown#sst-cgl-003"
"M000000_A115011-101-xxx_NA_1145.57_PRED_VAR5_ALK_Unknown#bth-pae-004","Unknown#bth-pae-004"
"M000000_A115012-101-xxx_NA_1147.59_PRED_VAR5_ALK_Unknown#bth-pae-011","Unknown#bth-pae-011"
"M000361_A116001-101-xxx_NA_1143.43_PRED_VAR5_ALK_Sulfuric acid (2TMS)","Sulfuric acid"
"M000889_A116002-101-xxx_NA_1058.8_TRUE_VAR5_ALK_Butanoic acid. 2-oxo- (1MEOX) (1TMS) BP","Butanoic acid. 2-oxo-"
"M000889_A116003-101-xxx_NA_1088.7_TRUE_VAR5_ALK_Butanoic acid. 2-oxo- (1MEOX) (1TMS) MP","Butanoic acid. 2-oxo-"
"M000449_A116004-101-xxx_NA_1095.76_TRUE_VAR5_ALK_Isovaleric acid. 2-oxo- (1MEOX) (1TMS) MP","Isovaleric acid. 2-oxo-"
"M000432_A116005-101-xxx_NA_1155.41_TRUE_VAR5_ALK_Hexanoic acid. 2-ethyl- (1TMS)","Hexanoic acid. 2-ethyl-"
"M000433_A116006-101-xxx_NA_1091.27_PRED_VAR5_ALK_Octan-1-ol. n- (1TMS)","Octan-1-ol. n-"
"M000434_A116007-101-xxx_NA_1148.33_TRUE_VAR5_ALK_Butanoic acid. 3-hydroxy- (2TMS)","Butanoic acid. 3-hydroxy-"
"M000435_A116009-101-xxx_NA_1229.2_PRED_VAR5_ALK_Guanidine (3TMS)","Guanidine"
"M000889_A116010-101-xxx_NA_1165.42_TRUE_VAR5_ALK_Butanoic acid. 2-oxo- (2TMS)","Butanoic acid. 2-oxo-"
"M000000_A116011-101-xxx_NA_1164.86_TRUE_VAR5_ALK_NA","NA"
"M000000_A116012-101-xxx_NA_1161.89_TRUE_VAR5_ALK_D116201","D116201"
"M000000_A116014-101-xxx_NA_1158.99_PRED_VAR5_ALK_Unknown#bth-pae-013","Unknown#bth-pae-013"
"M000459_A117001-101-xxx_NA_1160.87_PRED_VAR5_ALK_Heptanoic acid. n- (1TMS)","Heptanoic acid. n-"
"M000228_A117002-101-xxx_NA_1160.82_TRUE_VAR5_ALK_Butanoic acid. 2-amino- (2TMS)","Butanoic acid. 2-amino-"
"M000436_A117003-101-xxx_NA_1154.12_TRUE_VAR5_ALK_Pyridine. 4-hydroxy- (1TMS)","Pyridine. 4-hydroxy-"
"M000450_A117004-101-xxx_NA_1164.98_TRUE_VAR5_ALK_Valeric acid. 2-oxo- (1MEOX) (1TMS) MP","Valeric acid. 2-oxo-"
"M000451_A117005-101-xxx_NA_0_FALSE_VAR5_ALK_Menthol. L-(-)- (1TMS)","Menthol. L-(-)-"
"M000029_A117006-101-xxx_NA_1176.03_TRUE_VAR5_ALK_Proline (1TMS)","Proline"
"M000397_A117007-101-xxx_NA_1177.1_TRUE_VAR5_ALK_Succinic semialdehyde (1MEOX) (1TMS) MP","Succinic semialdehyde"
"M000000_A117009-101-xxx_NA_1167.66_PRED_VAR5_ALK_Unknown#bth-pae-014","Unknown#bth-pae-014"
"M000000_A117010-101-xxx_NA_1168.56_PRED_VAR5_ALK_Succinic-acid_methylester_1TMS","Succinic-acid_methylester"
"M000025_A118001-101-xxx_NA_1151.06_TRUE_VAR5_ALK_Leucine (1TMS)","Leucine"
"M000437_A118002-101-xxx_NA_1129.96_TRUE_VAR5_ALK_Isobutanoic acid. 2-amino- (2TMS)","Isobutanoic acid. 2-amino-"
"M000397_A118003-101-xxx_NA_1182.03_TRUE_VAR5_ALK_Succinic semialdehyde (1MEOX) (1TMS) BP","Succinic semialdehyde"
"M000890_A118004-101-xxx_NA_1185.76_TRUE_VAR5_ALK_Phenylacetaldehyde (1MEOX) BP","Phenylacetaldehyde"
"M000000_A118006-101-xxx_NA_1189.63_TRUE_VAR5_ALK_NA","NA"
"M000000_A118008-101-xxx_NA_1189.29_TRUE_VAR5_ALK_D118786","D118786"
"M000000_A118009-101-xxx_NA_1172.22_PRED_VAR5_ALK_3-Methyl-2-oxopentanoic-acid_1_1MeOX_1TMS","3-Methyl-2-oxopentanoic-acid_11TMS"
"M000000_A118010-101-xxx_NA_1177.93_PRED_VAR5_ALK_Unknown#bth-pae-067","Unknown#bth-pae-067"
"M000507_A119001-101-xxx_NA_1167.37_TRUE_VAR5_ALK_Phosphoric acid monomethyl ester (2TMS)","Phosphoric acid monomethyl ester"
"M000017_A119002-101-xxx_NA_1174.98_TRUE_VAR5_ALK_Isoleucine (1TMS)","Isoleucine"
"M000027_A119004-101-xxx_NA_1184.03_TRUE_VAR5_ALK_Alanine. beta- (2TMS)","Alanine. beta-"
"M000119_A119005-101-xxx_NA_1199.69_TRUE_VAR5_ALK_Norleucine (1TMS)","Norleucine"
"M000628_A119006-101-xxx_NA_1194.57_TRUE_VAR5_ALK_Leucine. cyclo- (1TMS)","Leucine. cyclo-"
"M000890_A119007-101-xxx_NA_1192.51_TRUE_VAR5_ALK_Phenylacetaldehyde (1MEOX) MP","Phenylacetaldehyde"
"M000000_A119010-101-xxx_NA_1189.12_PRED_VAR5_ALK_3-Methyl-2-oxopentanoic-acid_2_1MeOX_1TMS","3-Methyl-2-oxopentanoic-acid_21TMS"
"M000000_A119011-101-xxx_NA_1184.08_PRED_VAR5_ALK_Unknown#bth-pae-015","Unknown#bth-pae-015"
"M000000_A119012-101-xxx_NA_1182.47_PRED_VAR5_ALK_Unknown#sst-cgl-004","Unknown#sst-cgl-004"
"M000424_A120001-101-xxx_NA_1200_TRUE_VAR5_ALK_Dodecane","Dodecane"
"M000887_A120002-101-xxx_NA_1200.35_TRUE_VAR5_ALK_Acetoacetic acid (2TMS) BP","Acetoacetic acid"
"M000884_A120003-101-xxx_NA_1202.09_TRUE_VAR5_ALK_Isobutanoic acid. 3-amino- (2TMS)","Isobutanoic acid. 3-amino-"
"M000198_A121001-101-xxx_NA_1198.35_PRED_VAR5_ALK_Butyric acid. 3-amino-. DL- (2TMS)","Butyric acid. 3-amino-. DL-"
"M000240_A121002-101-xxx_NA_1203.65_TRUE_VAR5_ALK_Cyclopropanecarboxylic acid. 1-amino- (2TMS)","Cyclopropanecarboxylic acid. 1-amino-"
"M000449_A121003-101-xxx_NA_1121.66_TRUE_VAR5_ALK_Isovaleric acid. 2-oxo- (1MEOX) (1TMS) BP","Isovaleric acid. 2-oxo-"
"M000030_A122001-101-xxx_NA_1207.1_TRUE_VAR5_ALK_Valine (2TMS)","Valine"
"M000000_A122002-101-xxx_NA_1196.07_PRED_VAR5_ALK_NA","NA"
"M000427_A122003-101-xxx_NA_1197.16_TRUE_VAR5_ALK_Malonic acid (2TMS)","Malonic acid"
"M000891_A122004-101-xxx_NA_1207.61_TRUE_VAR5_ALK_Malonic acid. methyl- (2TMS)","Malonic acid. methyl-"
"M000000_A122011-101-xxx_NA_1216.91_PRED_VAR5_ALK_Dihydroxyacetone_2TMS","Dihydroxyacetone"
"M001240_A122014-101-xxx_NA_1227.89_TRUE_VAR5_ALK_Levulinic acid (1MEOX) (1TMS) BP","Levulinic acid"
"M000870_A123002-101-xxx_NA_1208.14_PRED_VAR5_ALK_similar to Pentasiloxane. dodecamethyl","similar to Pentasiloxane. dodecamethyl"
"M000452_A123003-101-xxx_NA_1207.49_TRUE_VAR5_ALK_Glyceraldehyde (1MEOX) (2TMS) MP","Glyceraldehyde"
"M000452_A123004-101-xxx_NA_1194.03_TRUE_VAR5_ALK_Glyceraldehyde (1MEOX) (2TMS) BP","Glyceraldehyde"
"M000453_A123005-101-xxx_NA_1226.93_TRUE_VAR5_ALK_Hydroxyurea (3TMS)","Hydroxyurea"
"M000734_A123006-101-xxx_NA_1225.27_TRUE_VAR5_ALK_Nonanoic acid methyl ester (FAME MIX)","Nonanoic acid methyl ester"
"M000887_A123007-101-xxx_NA_1239.9_TRUE_VAR5_ALK_Acetoacetic acid (2TMS) MP","Acetoacetic acid"
"M000441_A123008-101-xxx_NA_1236.8_TRUE_VAR5_ALK_Isocaproic acid. 2-oxo- (2TMS)","Isocaproic acid. 2-oxo-"
"M000893_A124001-101-xxx_NA_1220.31_TRUE_VAR5_ALK_Propanoic acid. 2-amino-2-methyl-3-hydroxy- (2TMS)","Propanoic acid. 2-amino-2-methyl-3-hydroxy-"
"M000000_A124002-101-xxx_NA_1221.72_PRED_VAR5_ALK_NA","NA"
"M000438_A124003-101-xxx_NA_1242.06_TRUE_VAR5_ALK_1.3-Dihydroxyaceton (1MEOX) (2TMS) MP","1.3-Dihydroxyaceton"
"M000000_A124004-101-xxx_NA_1242.87_TRUE_VAR5_ALK_NA","NA"
"M000000_A124006-101-xxx_NA_1231.3_PRED_VAR5_ALK_Unknown#bth-pae-016","Unknown#bth-pae-016"
"M000000_A124007-101-xxx_NA_1238.44_PRED_VAR5_ALK_Unknown#sst-cgl-008","Unknown#sst-cgl-008"
"M001240_A124010-101-xxx_NA_1241.29_TRUE_VAR5_ALK_Levulinic acid (1MEOX) (1TMS) MP","Levulinic acid"
"M000000_A125001-101-xxx_NA_1223.59_PRED_VAR5_ALK_NA","NA"
"M000441_A125002-101-xxx_NA_1168.35_TRUE_VAR5_ALK_Isocaproic acid. 2-oxo- (1MEOX) (1TMS) BP","Isocaproic acid. 2-oxo-"
"M000000_A125003-101-xxx_NA_1216.51_PRED_VAR5_ALK_NA","NA"
"M000000_A125004-101-xxx_NA_1230.25_PRED_VAR5_ALK_NA","NA"
"M000000_A125005-101-xxx_NA_1238.2_PRED_VAR5_ALK_NA","NA"
"M000894_A125006-101-xxx_NA_1250.86_TRUE_VAR5_ALK_Propargyl-glycine (2TMS)","Propargyl-glycine"
"M000895_A125007-101-xxx_NA_1254.93_TRUE_VAR5_ALK_Oxamic acid (2TMS)","Oxamic acid"
"M000000_A125011-101-xxx_NA_1239.95_PRED_VAR5_ALK_Unknown#sst-cgl-009","Unknown#sst-cgl-009"
"M000000_A125012-101-xxx_NA_1244.58_PRED_VAR5_ALK_Unknown#sst-cgl-010a","Unknown#sst-cgl-010a"
"M001241_A125015-101-xxx_NA_1253.94_TRUE_VAR5_ALK_Alanineamide (2TMS)","Alanineamide"
"M000516_A126001-101-xxx_NA_1229.91_PRED_VAR5_ALK_Norvaline. DL- (2TMS)","Norvaline. DL-"
"M000428_A126002-101-xxx_NA_1230.28_TRUE_VAR5_ALK_Butanoic acid. 4-hydroxy- (2TMS)","Butanoic acid. 4-hydroxy-"
"M000000_A126003-101-xxx_NA_1226.85_PRED_VAR5_ALK_NA","NA"
"M000000_A126004-101-xxx_NA_1248.07_PRED_VAR5_ALK_NA","NA"
"M000000_A126006-101-xxx_NA_0_FALSE_VAR5_ALK_Propylamine-2.3-diol (3TMS)","Propylamine-2.3-diol"
"M000444_A126007-101-xxx_NA_1278.82_TRUE_VAR5_ALK_Pyruvic acid. 3-hydroxy- (1MEOX) (2TMS) BP","Pyruvic acid. 3-hydroxy-"
"M000896_A126008-101-xxx_NA_1268.99_TRUE_VAR5_ALK_Pyrrole-2-carboxylic acid (1TMS)","Pyrrole-2-carboxylic acid"
"M000000_A126011-101-xxx_NA_1266.8_TRUE_VAR5_ALK_D126702","D126702"
"M000000_A126013-101-xxx_NA_1258.06_PRED_VAR5_ALK_Unknown#bth-pae-018","Unknown#bth-pae-018"
"M000000_A127001-101-xxx_NA_1238.54_PRED_VAR5_ALK_NA","NA"
"M000364_A127002-101-xxx_NA_1234.56_PRED_VAR5_ALK_Urea (2TMS)","Urea"
"M000805_A127003-101-xxx_NA_1236.16_TRUE_VAR5_ALK_Diethylenglycol (2TMS)","Diethylenglycol"
"M000000_A127004-101-xxx_NA_1241.85_PRED_VAR5_ALK_NA","NA"
"M000000_A127005-101-xxx_NA_1248.98_PRED_VAR5_ALK_NA","NA"
"M000458_A127006-101-xxx_NA_1261.1_TRUE_VAR5_ALK_Octanoic acid. n- (1TMS)","Octanoic acid. n-"
"M000441_A127007-101-xxx_NA_1206.44_TRUE_VAR5_ALK_Isocaproic acid. 2-oxo- (1MEOX) (1TMS) MP","Isocaproic acid. 2-oxo-"
"M000444_A127011-101-xxx_NA_1327.41_TRUE_VAR5_ALK_Pyruvic acid. 3-hydroxy- (1MEOX) (2TMS) MP","Pyruvic acid. 3-hydroxy-"
"M000528_A127012-101-xxx_NA_1271.16_TRUE_VAR5_ALK_2-Piperidinecarboxylic acid (1TMS)","2-Piperidinecarboxylic acid"
"M000578_A127013-101-xxx_NA_1278.01_TRUE_VAR5_ALK_Diethanolamine (2TMS)","Diethanolamine"
"M000000_A127015-101-xxx_NA_1274.21_TRUE_VAR5_ALK_NA127015","NA127015"
"M001242_A127017-101-xxx_NA_1276.94_TRUE_VAR5_ALK_Sarcosineamide (2TMS)","Sarcosineamide"
"M000015_A128001-101-xxx_NA_1252.52_TRUE_VAR5_ALK_Serine (2TMS)","Serine"
"M000096_A128002-101-xxx_NA_1260.11_TRUE_VAR5_ALK_Ethanolamine (3TMS)","Ethanolamine"
"M000347_A128003-101-xxx_NA_1251.31_TRUE_VAR5_ALK_Benzoic acid. (1TMS)","Benzoic acid."
"M000000_A128004-101-xxx_NA_1272.15_PRED_VAR5_ALK_NA","NA"
"M000878_A128005-101-xxx_NA_1270.81_TRUE_VAR5_ALK_Ribofuranose. 2-deoxy- [-H2O] (2TMS)","Ribofuranose. 2-deoxy-"
"M000667_A128008-101-xxx_NA_1274.54_PRED_VAR5_ALK_1-Pyrroline-2-carboxylate (1TMS)","1-Pyrroline-2-carboxylate"
"M000400_A128009-101-xxx_NA_1283.97_TRUE_VAR5_ALK_Tropine (1TMS)","Tropine"
"M000310_A128010-101-xxx_NA_1531.68_TRUE_VAR5_ALK_Acetylsalicylic acid (1TMS)","Acetylsalicylic acid"
"M000016_A128011-101-xxx_NA_1286.82_TRUE_VAR5_ALK_Threonine. allo- (2TMS)","Threonine. allo-"
"M000000_A128012-101-xxx_NA_1272.14_PRED_VAR5_ALK_Unknown#bth-pae-019","Unknown#bth-pae-019"
"M000000_A128013-101-xxx_NA_1275.86_PRED_VAR5_ALK_Unknown#sst-cgl-014","Unknown#sst-cgl-014"
"M000075_A129001-101-xxx_NA_1262.42_TRUE_VAR5_ALK_Phosphoric acid (3TMS)","Phosphoric acid"
"M000025_A129002-101-xxx_NA_1264.43_TRUE_VAR5_ALK_Leucine (2TMS)","Leucine"
"M000053_A129003-101-xxx_NA_1262.29_TRUE_VAR5_ALK_Glycerol (3TMS)","Glycerol"
"M000423_A129004-101-xxx_NA_1305.43_TRUE_VAR5_ALK_Propane-1.3-diol. 2-amino-2-methyl- (3TMS)","Propane-1.3-diol. 2-amino-2-methyl-"
"M000447_A129005-101-xxx_NA_1140.8_PRED_VAR5_ALK_Valero-1.5-lactam (1TMS)","Valero-1.5-lactam"
"M000519_A129006-101-xxx_NA_1257.6_PRED_VAR5_ALK_Alanine. N-acetyl-. DL- (1TMS)","Alanine. N-acetyl-. DL-"
"M000603_A129007-101-xxx_NA_1283.91_PRED_VAR5_ALK_Nonan-1-ol. n- (1TMS)","Nonan-1-ol. n-"
"M000399_A129008-101-xxx_NA_1294.66_TRUE_VAR5_ALK_Tropinone (1MEOX)","Tropinone"
"M000000_A129011-101-xxx_NA_1295.54_TRUE_VAR5_ALK_NA","NA"
"M000000_A129012-101-xxx_NA_1298.99_TRUE_VAR5_ALK_NA129012","NA129012"
"M000000_A129014-101-xxx_NA_1285.71_PRED_VAR5_ALK_Homoserine-lactone_1TMS","Homoserine-lactone"
"M000897_A130001-101-xxx_NA_1280.52_PRED_VAR5_ALK_Glycine. N-acetyl- (1TMS)","Glycine. N-acetyl-"
"M000000_A130002-101-xxx_NA_1278.85_PRED_VAR5_ALK_NA","NA"
"M000000_A130003-101-xxx_NA_1285.28_PRED_VAR5_ALK_Siloxane","Siloxane"
"M000533_A130004-101-xxx_NA_1293.26_PRED_VAR5_ALK_Tridecane. n-","Tridecane. n-"
"M000898_A130005-101-xxx_NA_1307.81_TRUE_VAR5_ALK_Oxamide (3TMS)","Oxamide"
"M000899_A130006-101-xxx_NA_1302.33_TRUE_VAR5_ALK_Phenylacetic acid (1TMS)","Phenylacetic acid"
"M000900_A130007-101-xxx_NA_1305.17_TRUE_VAR5_ALK_Diisopropanolamine (2TMS)","Diisopropanolamine"
"M001227_A130012-101-xxx_NA_1300.06_TRUE_VAR5_ALK_Glycinamide (2TMS) BP1","Glycinamide  1"
"M000000_A131001-101-xxx_NA_1281.43_PRED_VAR5_ALK_similar to Diethanolamine (2TMS)","similar to Diethanolamine"
"M000000_A131002-101-xxx_NA_1287.62_PRED_VAR5_ALK_NA","NA"
"M000870_A131003-101-xxx_NA_1293.78_PRED_VAR5_ALK_similar to Cyclohexasiloxane. dodecamethyl","similar to Cyclohexasiloxane. dodecamethyl"
"M000442_A131004-101-xxx_NA_0_FALSE_VAR5_ALK_Caproic acid. 2-oxo- (1MEOX) (1TMS)","Caproic acid. 2-oxo-"
"M000439_A131006-101-xxx_NA_1312.64_TRUE_VAR5_ALK_Pyridine. 2.3-dihydroxy- (2TMS)","Pyridine. 2.3-dihydroxy-"
"M000414_A131007-101-xxx_NA_1281.93_TRUE_VAR5_ALK_Threonine. O-methyl-. L- (2TMS)","Threonine. O-methyl-. L-"
"M000000_A131008-101-xxx_NA_1306.75_TRUE_VAR5_ALK_NA","NA"
"M000901_A131009-101-xxx_NA_1318.12_TRUE_VAR5_ALK_Succinic acid. 2.2-dimethyl- (2TMS)","Succinic acid. 2.2-dimethyl-"
"M001115_A131010-101-xxx_NA_1314.17_TRUE_VAR5_ALK_Propanoic acid. 2-amino-3-ureido- (1TMS)","Propanoic acid. 2-amino-3-ureido-"
"M000000_A131011-101-xxx_NA_1317.12_TRUE_VAR5_ALK_NA","NA"
"M000000_A131017-101-xxx_NA_1300.99_PRED_VAR5_ALK_3-Methylcatechol_2TMS","3-Methylcatechol"
"M000000_A131018-101-xxx_NA_1308.97_PRED_VAR5_ALK_Catechol_2TMS","Catechol"
"M000000_A131019-101-xxx_NA_1303.2_PRED_VAR5_ALK_Cyclohexylcyclohexane","Cyclohexylcyclohexane"
"M000016_A132001-101-xxx_NA_1290.45_TRUE_VAR5_ALK_Threonine (2TMS)","Threonine"
