"","Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"25","Lactic acid","L-Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@@H](C(=O)O)O","1"
"26","NA","NA","NA","NA","NA","NA","NA","NA","0"
"27","Pyridine. 2-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"28","NA","NA","NA","NA","NA","NA","NA","NA","0"
"29","1-Cyclohexenol","NA","NA","NA","NA","NA","NA","NA","0"
"30","Hexanoic acid","Caproic acid","HMDB0000535","8892","30776","C01585","5520","CCCCCC(=O)O","1"
"31","Glycolic acid","Glycolic acid","HMDB0000115","757","17497","C00160","3219","C(C(=O)O)O","1"
"32","D106098","NA","NA","NA","NA","NA","NA","NA","0"
"33","Unknown#bth-pae-059","NA","NA","NA","NA","NA","NA","NA","0"
"34","NA","NA","NA","NA","NA","NA","NA","NA","0"
"35","Pyruvic acid","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"36","Unknown#sst-cgl-D03","NA","NA","NA","NA","NA","NA","NA","0"
"37","Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@@H](C(=O)O)N","1"
"38","NA109003 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"39","Pyrazine. 2-hydroxy-3-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"40","Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@@H](C(=O)O)N","1"
"41","Hydroxylamine","Hydroxylamine","HMDB0003338","787","15429","C00192","6894","NO","1"
"42","Acetoacetic acid","Acetoacetic acid","HMDB0000060","96","15344","C00164","276","CC(=O)CC(=O)O","1"
"43","6-epi-castanospermine","NA","NA","NA","NA","NA","NA","NA","0"
"44","Butylamine","1-Butylamine","HMDB0031321","8007","43799","",NA,"CCCCN","1"
"45","Limonene.","NA","NA","NA","NA","NA","NA","NA","0"
"46","Butanoic acid. 2-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"47","Benzaldehyde_1","NA","NA","NA","NA","NA","NA","NA","0"
"48","Norvaline","Norvaline","HMDB0013716","439575","28804","C01799",NA,"CCC[C@H](C(=O)O)N","1"
"49","Unknown#sst-cgl-002","NA","NA","NA","NA","NA","NA","NA","0"
"50","Acetoacetic acid","Acetoacetic acid","HMDB0000060","96","15344","C00164","276","CC(=O)CC(=O)O","1"
"51","NA","NA","NA","NA","NA","NA","NA","NA","0"
"52","Benzaldehyde_2","NA","NA","NA","NA","NA","NA","NA","0"
"53","similar to Cyclopentasiloxane. decamethyl","NA","NA","NA","NA","NA","NA","NA","0"
"54","Oxalic acid","Oxalic acid","HMDB0002329","971","16995","C00209","113","C(=O)(C(=O)O)O","1"
"55","NA","NA","NA","NA","NA","NA","NA","NA","0"
"56","Sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(=O)O","1"
"57","Octanoic acid methyl ester","Methyl caprylate","HMDB0031291","8091","87432","",NA,"CCCCCCCC(=O)OC","1"
"58","Valeric acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"59","Unknown#bth-pae-010","NA","NA","NA","NA","NA","NA","NA","0"
"60","Glycine","Glycine","HMDB0000123","750","15428","C00037","20","C(C(=O)O)N","1"
"61","NA114002 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"62","Pyridine. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"63","Butyro-1.4-lactam","NA","NA","NA","NA","NA","NA","NA","0"
"64","Valeric acid. 3-hydroxy-3-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"65","Maleimide. N-ethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"66","NA114008","NA","NA","NA","NA","NA","NA","NA","0"
"67","NA114009","NA","NA","NA","NA","NA","NA","NA","0"
"68","Unknown#sst-cgl-D05","NA","NA","NA","NA","NA","NA","NA","0"
"69","Unknown#sst-cgl-D07","NA","NA","NA","NA","NA","NA","NA","0"
"70","Furan-2-carboxylic acid","NA","NA","NA","NA","NA","NA","NA","0"
"71","NA","NA","NA","NA","NA","NA","NA","NA","0"
"72","NA","NA","NA","NA","NA","NA","NA","NA","0"
"73","Benzylalcohol","Benzyl alcohol","HMDB0003119","244","17987","C00556",NA,"C1=CC=C(C=C1)CO","1"
"74","Propane-1.3-diol. 2-amino-2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"75","Pentanoic acid. 2-propyl-","NA","NA","NA","NA","NA","NA","NA","0"
"76","Unknown#sst-cgl-003","NA","NA","NA","NA","NA","NA","NA","0"
"77","Unknown#bth-pae-004","NA","NA","NA","NA","NA","NA","NA","0"
"78","Unknown#bth-pae-011","NA","NA","NA","NA","NA","NA","NA","0"
"79","Sulfuric acid","Sulfate","HMDB0001448","1117","16189","C00059","3233","[O-]S(=O)(=O)[O-]","1"
"80","Butanoic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"81","Butanoic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"82","Isovaleric acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"83","Hexanoic acid. 2-ethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"84","Octan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"85","Butanoic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"86","Guanidine","Guanidine","HMDB0001842","3520","42820","C17349","6342","C(=N)(N)N","1"
"87","Butanoic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"88","NA","NA","NA","NA","NA","NA","NA","NA","0"
"89","D116201","NA","NA","NA","NA","NA","NA","NA","0"
"90","Unknown#bth-pae-013","NA","NA","NA","NA","NA","NA","NA","0"
"91","Heptanoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"92","Butanoic acid. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"93","Pyridine. 4-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"94","Valeric acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"95","Menthol. L-(-)-","NA","NA","NA","NA","NA","NA","NA","0"
"96","Proline","L-Proline","HMDB0000162","145742","17203","C00148","29","C1C[C@H](NC1)C(=O)O","1"
"97","Succinic semialdehyde","Succinic acid semialdehyde","HMDB0001259","1112","16265","C00232","6114","C(CC(=O)O)C=O","1"
"98","Unknown#bth-pae-014","NA","NA","NA","NA","NA","NA","NA","0"
"99","Succinic-acid_methylester","NA","NA","NA","NA","NA","NA","NA","0"
"100","Leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@@H](C(=O)O)N","1"
"101","Isobutanoic acid. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"102","Succinic semialdehyde","Succinic acid semialdehyde","HMDB0001259","1112","16265","C00232","6114","C(CC(=O)O)C=O","1"
"103","Phenylacetaldehyde","Phenylacetaldehyde","HMDB0006236","998","16424","C00601",NA,"C1=CC=C(C=C1)CC=O","1"
"104","NA","NA","NA","NA","NA","NA","NA","NA","0"
"105","D118786","NA","NA","NA","NA","NA","NA","NA","0"
"106","3-Methyl-2-oxopentanoic-acid_11TMS","NA","NA","NA","NA","NA","NA","NA","0"
"107","Unknown#bth-pae-067","NA","NA","NA","NA","NA","NA","NA","0"
"108","Phosphoric acid monomethyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"109","Isoleucine","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"110","Alanine. beta-","NA","NA","NA","NA","NA","NA","NA","0"
"111","Norleucine","L-Norleucine","HMDB0001645","21236","18347","C01933","6334","CCCC[C@@H](C(=O)O)N","1"
"112","Leucine. cyclo-","NA","NA","NA","NA","NA","NA","NA","0"
"113","Phenylacetaldehyde","Phenylacetaldehyde","HMDB0006236","998","16424","C00601",NA,"C1=CC=C(C=C1)CC=O","1"
"114","3-Methyl-2-oxopentanoic-acid_21TMS","NA","NA","NA","NA","NA","NA","NA","0"
"115","Unknown#bth-pae-015","NA","NA","NA","NA","NA","NA","NA","0"
"116","Unknown#sst-cgl-004","NA","NA","NA","NA","NA","NA","NA","0"
"117","Dodecane","N-Dodecane","HMDB0031444","8182","28817","C08374",NA,"CCCCCCCCCCCC","1"
"118","Acetoacetic acid","Acetoacetic acid","HMDB0000060","96","15344","C00164","276","CC(=O)CC(=O)O","1"
"119","Isobutanoic acid. 3-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"120","Butyric acid. 3-amino-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"121","Cyclopropanecarboxylic acid. 1-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"122","Isovaleric acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"123","Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@@H](C(=O)O)N","1"
"124","NA","NA","NA","NA","NA","NA","NA","NA","0"
"125","Malonic acid","Malonic acid","HMDB0000691","867","30794","C00383","3237","C(C(=O)O)C(=O)O","1"
"126","Malonic acid. methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"127","Dihydroxyacetone","Dihydroxyacetone","HMDB0001882","670","16016","C00184","6368","C(C(=O)CO)O","1"
"128","Levulinic acid","Levulinic acid","HMDB0000720","11579","45630","","2195","CC(=O)CCC(=O)O","1"
"129","similar to Pentasiloxane. dodecamethyl","NA","NA","NA","NA","NA","NA","NA","0"
"130","Glyceraldehyde","Glyceraldehyde","HMDB0001051","751","5445","C02154","4176","C(C(C=O)O)O","1"
"131","Glyceraldehyde","Glyceraldehyde","HMDB0001051","751","5445","C02154","4176","C(C(C=O)O)O","1"
"132","Hydroxyurea","Hydroxyurea","HMDB0015140","3657","5816","C07044",NA,"C(=O)(N)NO","1"
"133","Nonanoic acid methyl ester","Methyl nonanoate","HMDB0031264","15606","44499","",NA,"CCCCCCCCC(=O)OC","1"
"134","Acetoacetic acid","Acetoacetic acid","HMDB0000060","96","15344","C00164","276","CC(=O)CC(=O)O","1"
"135","Isocaproic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"136","Propanoic acid. 2-amino-2-methyl-3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"137","NA","NA","NA","NA","NA","NA","NA","NA","0"
"138","1.3-Dihydroxyaceton","NA","NA","NA","NA","NA","NA","NA","0"
"139","NA","NA","NA","NA","NA","NA","NA","NA","0"
"140","Unknown#bth-pae-016","NA","NA","NA","NA","NA","NA","NA","0"
"141","Unknown#sst-cgl-008","NA","NA","NA","NA","NA","NA","NA","0"
"142","Levulinic acid","Levulinic acid","HMDB0000720","11579","45630","","2195","CC(=O)CCC(=O)O","1"
"143","NA","NA","NA","NA","NA","NA","NA","NA","0"
"144","Isocaproic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"145","NA","NA","NA","NA","NA","NA","NA","NA","0"
"146","NA","NA","NA","NA","NA","NA","NA","NA","0"
"147","NA","NA","NA","NA","NA","NA","NA","NA","0"
"148","Propargyl-glycine","NA","NA","NA","NA","NA","NA","NA","0"
"149","Oxamic acid","NA","NA","NA","NA","NA","NA","NA","0"
"150","Unknown#sst-cgl-009","NA","NA","NA","NA","NA","NA","NA","0"
"151","Unknown#sst-cgl-010a","NA","NA","NA","NA","NA","NA","NA","0"
"152","Alanineamide","NA","NA","NA","NA","NA","NA","NA","0"
"153","Norvaline. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"154","Butanoic acid. 4-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"155","NA","NA","NA","NA","NA","NA","NA","NA","0"
"156","NA","NA","NA","NA","NA","NA","NA","NA","0"
"157","Propylamine-2.3-diol","NA","NA","NA","NA","NA","NA","NA","0"
"158","Pyruvic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"159","Pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","36751","C05942","3787","C1=CNC(=C1)C(=O)O","1"
"160","D126702","NA","NA","NA","NA","NA","NA","NA","0"
"161","Unknown#bth-pae-018","NA","NA","NA","NA","NA","NA","NA","0"
"162","NA","NA","NA","NA","NA","NA","NA","NA","0"
"163","Urea","Urea","HMDB0000294","1176","16199","C00086","6","C(=O)(N)N","1"
"164","Diethylenglycol","NA","NA","NA","NA","NA","NA","NA","0"
"165","NA","NA","NA","NA","NA","NA","NA","NA","0"
"166","NA","NA","NA","NA","NA","NA","NA","NA","0"
"167","Octanoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"168","Isocaproic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"169","Pyruvic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"170","2-Piperidinecarboxylic acid","Pipecolic acid","HMDB0000070","849","17964","C00408","50","C1CCNC(C1)C(=O)O","1"
"171","Diethanolamine","Diethanolamine","HMDB0004437","8113","28123","C06772","3239","C(CO)NCCO","1"
"172","NA127015","NA","NA","NA","NA","NA","NA","NA","0"
"173","Sarcosineamide","NA","NA","NA","NA","NA","NA","NA","0"
"174","Serine","L-Serine","HMDB0000187","5951","17115","C00065","5203","C([C@@H](C(=O)O)N)O","1"
"175","Ethanolamine","Ethanolamine","HMDB0000149","700","16000","C00189","3207","C(CO)N","1"
"176","Benzoic acid.","NA","NA","NA","NA","NA","NA","NA","0"
"177","NA","NA","NA","NA","NA","NA","NA","NA","0"
"178","Ribofuranose. 2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"179","1-Pyrroline-2-carboxylate","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","36761","C03564",NA,"C1CC(=NC1)C(=O)O","1"
"180","Tropine","Tropine","METPA0074",NA,NA,"C00729",NA,NA,"1"
"181","Acetylsalicylic acid","Aspirin","HMDB0001879","2244","15365","C01405",NA,"CC(=O)OC1=CC=CC=C1C(=O)O","1"
"182","Threonine. allo-","NA","NA","NA","NA","NA","NA","NA","0"
"183","Unknown#bth-pae-019","NA","NA","NA","NA","NA","NA","NA","0"
"184","Unknown#sst-cgl-014","NA","NA","NA","NA","NA","NA","NA","0"
"185","Phosphoric acid","Phosphoric acid","HMDB0002142","1004","26078","C00009",NA,"OP(=O)(O)O","1"
"186","Leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@@H](C(=O)O)N","1"
"187","Glycerol","Glycerol","HMDB0000131","753","17522","C00116","105","C(C(CO)O)O","1"
"188","Propane-1.3-diol. 2-amino-2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"189","Valero-1.5-lactam","NA","NA","NA","NA","NA","NA","NA","0"
"190","Alanine. N-acetyl-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"191","Nonan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"192","Tropinone","Tropinone","METPA0078",NA,NA,"C00783",NA,NA,"1"
"193","NA","NA","NA","NA","NA","NA","NA","NA","0"
"194","NA129012","NA","NA","NA","NA","NA","NA","NA","0"
"195","Homoserine-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"196","Glycine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"197","NA","NA","NA","NA","NA","NA","NA","NA","0"
"198","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"199","Tridecane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"200","Oxamide","NA","NA","NA","NA","NA","NA","NA","0"
"201","Phenylacetic acid","Phenylacetic acid","HMDB0000209","999","30745","C07086","129","C1=CC=C(C=C1)CC(=O)O","1"
"202","Diisopropanolamine","NA","NA","NA","NA","NA","NA","NA","0"
"203","Glycinamide  1","NA","NA","NA","NA","NA","NA","NA","0"
"204","similar to Diethanolamine","NA","NA","NA","NA","NA","NA","NA","0"
"205","NA","NA","NA","NA","NA","NA","NA","NA","0"
"206","similar to Cyclohexasiloxane. dodecamethyl","NA","NA","NA","NA","NA","NA","NA","0"
"207","Caproic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"208","Pyridine. 2.3-dihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"209","Threonine. O-methyl-. L-","NA","NA","NA","NA","NA","NA","NA","0"
"210","NA","NA","NA","NA","NA","NA","NA","NA","0"
"211","Succinic acid. 2.2-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"212","Propanoic acid. 2-amino-3-ureido-","NA","NA","NA","NA","NA","NA","NA","0"
"213","NA","NA","NA","NA","NA","NA","NA","NA","0"
"214","3-Methylcatechol","2,3-Dihydroxytoluene","METPA0335",NA,NA,"C02923",NA,NA,"1"
"215","Catechol","Pyrocatechol","HMDB0000957","289","18135","C00090","282","C1=CC=C(C(=C1)O)O","1"
"216","Cyclohexylcyclohexane","NA","NA","NA","NA","NA","NA","NA","0"
"217","Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@H]([C@@H](C(=O)O)N)O","1"
"218","Isoleucine","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"219","Proline","L-Proline","HMDB0000162","145742","17203","C00148","29","C1C[C@H](NC1)C(=O)O","1"
"220","Cysteine. S-methyl-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"221","Caproic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"222","Oxamide","NA","NA","NA","NA","NA","NA","NA","0"
"223","Benzamidine","NA","NA","NA","NA","NA","NA","NA","0"
"224","Unknown#bth-pae-020","NA","NA","NA","NA","NA","NA","NA","0"
"225","2.5-Piperazinedione.3.6-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"226","Aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","17475","C00872",NA,"C(C(=O)O)(C(=O)O)N","1"
"227","Glycine","Glycine","HMDB0000123","750","15428","C00037","20","C(C(=O)O)N","1"
"228","Butanoic acid. 4-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"229","Maleic acid","Maleic acid","HMDB0000176","444266","18300","C01384","4198","C(=C\C(=O)O)\C(=O)O","1"
"230","Nicotinic acid","Nicotinic acid","HMDB0001488","938","15940","C00253","6272","C1=CC(=CN=C1)C(=O)O","1"
"231","Decanoic acid. methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"232","Pseudotropine","NA","NA","NA","NA","NA","NA","NA","0"
"233","Hydantoin. 1-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"234","Malonic acid. allyl-","NA","NA","NA","NA","NA","NA","NA","0"
"235","Lumichrome","Lumichrome","METPA0216",NA,NA,"C01727",NA,NA,"1"
"236","Propane-1.3-diol. 2-hydroxymethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"237","Phenethylamine","Phenylethylamine","HMDB0012275","1001","18397","C05332",NA,"C1=CC=C(C=C1)CCN","1"
"238","D133273","NA","NA","NA","NA","NA","NA","NA","0"
"239","NA133016","NA","NA","NA","NA","NA","NA","NA","0"
"240","Succinic acid","Succinic acid","HMDB0000254","1110","15741","C00042","114","C(CC(=O)O)C(=O)O","1"
"241","NA","NA","NA","NA","NA","NA","NA","NA","0"
"242","NA","NA","NA","NA","NA","NA","NA","NA","0"
"243","Proline","L-Proline","HMDB0000162","145742","17203","C00148","29","C1C[C@H](NC1)C(=O)O","1"
"244","Putrescine","Putrescine","HMDB0001414","1045","17148","C00134","3226","C(CCN)CN","1"
"245","5-Aminopentanoic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"246","5-Hydroxypentanoic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"247","2.5-Piperazinedione.3.6-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"248","Norleucine","L-Norleucine","HMDB0001645","21236","18347","C01933","6334","CCCC[C@@H](C(=O)O)N","1"
"249","similar to Methylfurancarboxylic acid","NA","NA","NA","NA","NA","NA","NA","0"
"250","Glyceric acid","Glyceric acid","HMDB0000139","439194","32398","C00258","280","C([C@H](C(=O)O)O)O","1"
"251","Itaconic acid","Itaconic acid","HMDB0002092","811","30838","C00490","6483","C=C(CC(=O)O)C(=O)O","1"
"252","NA","NA","NA","NA","NA","NA","NA","NA","0"
"253","Phosphomycin","Fosfomycin","HMDB0014966","446987","28915","C06454",NA,"C[C@H]1[C@H](O1)P(=O)(O)O","1"
"254","Succinic acid. 2.3-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"255","Pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","36751","C05942","3787","C1=CNC(=C1)C(=O)O","1"
"256","Butanoic acid. 4-amino-3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"257","NA135011 (classified unknown]","NA","NA","NA","NA","NA","NA","NA","0"
"258","Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","C1=CNC(=O)NC1=O","1"
"259","similar to Lumichrome","NA","NA","NA","NA","NA","NA","NA","0"
"260","Picolinic acid","Picolinic acid","HMDB0002243","1018","28747","C10164",NA,"C1=CC=NC(=C1)C(=O)O","1"
"261","Norvaline. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"262","1.2.4-Triazole. 3-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"263","Geraniol","Geraniol","HMDB0005812","643820","29452","C09871",NA,"CC(=CCC/C(=C\CO)/C)C","1"
"264","Serine. cyclo-","NA","NA","NA","NA","NA","NA","NA","0"
"265","Hydantoin. 1-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"266","NA","NA","NA","NA","NA","NA","NA","NA","0"
"267","O-Toluic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"268","Fumaric acid","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","C(=C/C(=O)O)\C(=O)O","1"
"269","Homoserine","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","C(CO)[C@@H](C(=O)O)N","1"
"270","Maleic acid. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"271","2-Piperidinecarboxylic acid","Pipecolic acid","HMDB0000070","849","17964","C00408","50","C1CCNC(C1)C(=O)O","1"
"272","Leucine. cyclo-","NA","NA","NA","NA","NA","NA","NA","0"
"273","Propanoic acid. 2-amino-2-methyl-3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"274","Thiazole. 4-methyl-5-hydroxyethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"275","Cysteine. seleno-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"276","NA137012 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"277","Malic-acid_4_methylester","NA","NA","NA","NA","NA","NA","NA","0"
"278","3-Methyl-2-ketopiperazine","NA","NA","NA","NA","NA","NA","NA","0"
"279","N.N'-Trimethyleneurea","NA","NA","NA","NA","NA","NA","NA","0"
"280","Serine","L-Serine","HMDB0000187","5951","17115","C00065","5203","C([C@@H](C(=O)O)N)O","1"
"281","Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@@H](C(=O)O)N","1"
"282","Nonanoic acid","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(=O)O","1"
"283","NA","NA","NA","NA","NA","NA","NA","NA","0"
"284","Alanine. 3-cyano-","NA","NA","NA","NA","NA","NA","NA","0"
"285","Norbornane-2-carboxylic acid. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"286","Unknown#bth-pae-024","NA","NA","NA","NA","NA","NA","NA","0"
"287","5-Methyl-2H-1.2.6-oxadiazin-3(6H)-one","NA","NA","NA","NA","NA","NA","NA","0"
"288","NA138017","NA","NA","NA","NA","NA","NA","NA","0"
"289","2-Oxopiperazine","NA","NA","NA","NA","NA","NA","NA","0"
"290","Acetic acid. aminooxy-","NA","NA","NA","NA","NA","NA","NA","0"
"291","Nicotine","Nicotine","HMDB0014330","942","18723","C16150",NA,"CN1CCCC1C2=CN=CC=C2","1"
"292","NA","NA","NA","NA","NA","NA","NA","NA","0"
"293","NA","NA","NA","NA","NA","NA","NA","NA","0"
"294","NA","NA","NA","NA","NA","NA","NA","NA","0"
"295","NA","NA","NA","NA","NA","NA","NA","NA","0"
"296","NA","NA","NA","NA","NA","NA","NA","NA","0"
"297","Threonine. allo-","NA","NA","NA","NA","NA","NA","NA","0"
"298","Malonic acid","Malonic acid","HMDB0000691","867","30794","C00383","3237","C(C(=O)O)C(=O)O","1"
"299","Propane-1.2-diol. 3-amino","NA","NA","NA","NA","NA","NA","NA","0"
"300","NA","NA","NA","NA","NA","NA","NA","NA","0"
"301","Butyric acid. 2.4-diamino-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"302","Decan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"303","Phosphonic acid. hydroxymethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"304","Norbornane-2-carboxylic acid. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"305","Perillic aldehyde","Perillyl aldehyde","HMDB0003647","16441","15421","C02576",NA,"CC(=C)C1CCC(=CC1)C=O","1"
"306","4-Methylcatechol","4-Methylcatechol","HMDB0000873","9958","17254","C06730","5834","CC1=CC(=C(C=C1)O)O","1"
"307","Malic-acid_1_methylester","NA","NA","NA","NA","NA","NA","NA","0"
"308","Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@H]([C@@H](C(=O)O)N)O","1"
"309","Mevalonic acid-1.5-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"310","NA","NA","NA","NA","NA","NA","NA","NA","0"
"311","Threonic acid-1.4-lactone","NA","NA","NA","NA","NA","NA","NA","0"
